IDENTIFIKATOR_KLIJENTA,DOB,GRAD_STALNE_ADRESE,POSTANSKI_BROJ_STALNE_ADRESE,ZUPANIJA_STALNE_ADRESE,DRZAVA_STALNE_ADRESE,STATISTICKA_OZNAKA,ORGANIZACIJSKA_JEDINICA_KLIJENTA,DATUM_PRVOG_POCETKA_POSLOVNOG_ODNOSA,DATUM_ZADNJEG_POCETKA_POSLOVNOG_ODNOSA,SPOL,STATUS_ZAPOSLENJA,VRSTA_ZAPOSLENJA,POZICIJA,STRUCNA_SPREMA,SIFRA_VRSTE_KLIJENTA,DRZAVA_NACIONALNOSTI,GRAD_DOPISNE_ADRESE,POSTANSKI_BROJ_DOPISNE_ADRESE,ZUPANIJA_DOPISNE_ADRESE,DRZAVA_DOPISNE_ADRESE,KREDITNI_RATING,OZNAKA_AKVIZICIJE_KLIJENTA,IMA_LI_KLIJENT_KYC_BLOKADU,KLIJENT_REZIDENT,GODINE_STAZA_KOD_TRENUTNOG_POSLODAVCA,GODINE_STAZA,ZANIMANJE,KATEGORIJA_POSLODAVCA,TIP_POSLODAVCA,VRSTA_STANOVANJA,PERIOD_PROVEDEN_NA_TRENUTNOJ_ADRESI,TIP_VLASNISTVA,BROJ_CLANOVA_KUCANSTVA,BROJ_UZDRZAVANIH_CLANOVA_KUCANSTVA,KLIJENT_PREMINUO,BRACNI_STATUS,KLIJENT_PRIMA_OSNOVNO_PRIMANJE_U_BANCI
UH2E4FCCQ203,66,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
YTJ1DB1BWPCJ,95,NOVA GRADIŠKA,35400,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,NOVA GRADIŠKA,35400,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
TWHAGXSS4AWJ,86,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
E7DAMEVL5WI5,59,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
4EZSG4TNEJOK,58,ČEPIN,31430,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ČEPIN,31430,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
C45VCWMD1XBZ,64,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,215,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,VARAŽDIN,42000,VARAŽDINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
PXX2LVOXAG3X,59,HRVACE,21230,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,HRVACE,21230,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
1LGJTK3QCI5Y,56,KNIN,22300,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,255,18/6/2013/,18/6/2013/,F,,ZAPOSLEN,ZAPOSLENIK,,60015,HR,KNIN,22300,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
BIZ6TU4UBWU2,79,TOVARNIK,32240,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,21/2/2012/,21/2/2012/,F,,UMIROVLJENIK,OSTALO,,60015,HR,TOVARNIK,32240,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
0HLPZRHDQLE6,45,BELIŠĆE,31550,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,241,20/4/2011/,20/4/2011/,M,,OSTALO,SREDNJA RAZINA RUKOVOĐENJA,,60015,HR,BELIŠĆE,31550,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
HQ4DFGY1FW8F,78,NAŠICE,31500,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,NAŠICE,31500,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
QSSMDY01328T,78,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
CL424J5S83J9,56,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
B2VRT3IQ9DBC,69,ŠIBENIK,22000,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,249,27/2/1998/,27/2/1998/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ŠIBENIK,22000,ŠIBENSKO-KNINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
PIFTOMZTB8GK,63,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,15/3/2001/,15/3/2001/,F,EMPLOYED,NEZAPOSLEN,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,OSTALI ZAPOSLENICI,,,PODSTANAR,<3,,,,N,,NE
Z3TO0SO2VND6,50,BABINA GREDA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,30/3/2001/,30/3/2001/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,BABINA GREDA,32270,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
1ISDFJ613JWS,65,VINKOVCI,32100,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,226,8/5/2008/,8/5/2008/,F,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,SSS,60015,HR,VINKOVCI,32100,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,TRGOVCI,,,VLASTITI STAN/KUĆA,>5,,2.0,,N,Y,NE
54LKC0UB5PFT,60,SRIJEMSKE LAZE,32240,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,ZAPOSLENIK,,60015,HR,SRIJEMSKE LAZE,32240,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
V7S51PJQ0763,65,SIBINJ,35250,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,22/8/2007/,22/8/2007/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,SIBINJ,35250,BRODSKO-POSAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
55UFSDD57F8C,57,POSAVSKI PODGAJCI,32250,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,16/3/2001/,16/3/2001/,M,EMPLOYED,ZAPOSLEN,ZAPOSLENIK,,60015,HR,POSAVSKI PODGAJCI,32250,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,PRIVATNO PODUZEĆE - SREDNJE,,,,,,N,,NE
SID0CS0XPLIH,59,ŽAKANJE,47270,KARLOVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,252,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ŽAKANJE,47270,KARLOVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,OSTALO,,,,,,N,,NE
8PS4Q3WAAG04,75,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,245,16/6/2017/,16/6/2017/,M,,UMIROVLJENIK,OSTALO,SSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,OSTALI ZAPOSLENICI,,,VLASTITI STAN/KUĆA,>5,,,,N,Y,NE
D7GD4O5OQ66E,41,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,254,23/6/2017/,23/6/2017/,F,,ZAPOSLEN,VLASNIK,VSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,3-7,1-5,RADNICI U OBRTIMA ILI MALIM TVRTKAMA (DO 5 ZAPOSLENIKA),,PRIVATNO PODUZEĆE - MALO,VLASTITI STAN/KUĆA,>5,,,,N,N,NE
IKOQSPLEVNKI,55,OSIJEK,31000,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,777,14/7/2017/,14/7/2017/,F,,ZAPOSLEN,ZAPOSLENIK,VSS,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,OSTALI ZAPOSLENICI,,JAVNO PODUZEĆE,,,,,,N,,NE
GAFHV8G6QUEH,92,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,777,18/7/2017/,18/7/2017/,F,,UMIROVLJENIK,OSTALO,,60015,HR,ZAGREB-SUSEDGRAD,10090,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
H6MFROVQAGUJ,68,VIROVITICA,33000,VIROVITIČKO-PODRAVSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,222,19/5/2017/,19/5/2017/,F,,UMIROVLJENIK,OSTALO,SSS,60015,HR,VIROVITICA,33000,VIROVITIČKO-PODRAVSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,"UMIROVLJENICI, POMORCI, SLUŽB. POD. KOJA NISU POVEZANA S DRŽAVOM",,OSTALO,VLASTITI STAN/KUĆA,>5,,4.0,,N,Y,NE
SIP53KNTHWVZ,70,VUGRIŠINEC,40300,MEĐIMURSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,251,20/7/2017/,20/7/2017/,F,,OSTALO,OSTALO,NSS,60015,HR,VUGRIŠINEC,40300,MEĐIMURSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,VLASTITI STAN/KUĆA,>5,,2.0,,N,Y,NE
XMUG0KVZQA6K,36,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,19/7/2017/,19/7/2017/,F,,NEZAPOSLEN,OSTALO,SSS,60015,HR,KAŠTEL STARI,21210,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,OSTALI ZAPOSLENICI,,,VLASTITI STAN/KUĆA,<3,,2.0,,N,N,NE
DH554E29S5NZ,76,PLOČE,20340,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,203,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,PLOČE,20340,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
T308Q9HESHWS,53,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,10/11/1998/,10/11/1998/,F,EMPLOYED,ZAPOSLEN,VIŠA RAZINA RUKOVOĐENJA,MAG/DR,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,"OBRTNICI, SAMOSTALNE DJELATNOSTI, SAMOZAPOSLENI",,PRIVATNO PODUZEĆE - MALO,,,,,,N,,NE
9RQ0R036ZUB7,48,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,225,23/5/1995/,23/5/1995/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
ZP3A1IZQQVPR,59,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
UDDJR2DM8V6V,86,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
F5FR0Y7ST3JS,55,BANOVA JARUGA,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,BANOVA JARUGA,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
SG4JCLK353KJ,51,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
3HS8QI3EVI21,56,LOVIŠTE,20260,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,203,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,LOVIŠTE,20260,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
H6IJY8KNTI23,89,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
OXQDZREJM8ZQ,89,NEREŽIŠĆA,21420,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,25/2/1999/,25/2/1999/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,NEREŽIŠĆA,21420,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
GA6OMLUANM2A,92,BJELOVAR,43000,BJELOVARSKO-BILOGORSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,248,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,BJELOVAR,43000,BJELOVARSKO-BILOGORSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
T4QYLNMREIMP,52,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
9IYIQ2SYHP7K,56,KUTINA,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,KUTINA,44320,SISAČKO-MOSLAVAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
TEXH45EI2GCL,85,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,SPLIT,21000,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
E1A1QMFQS56C,51,MARČANA,52200,ISTARSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,207,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,MARČANA,52200,ISTARSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
NM94CAVNJOGQ,63,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB-NOVI ZAGREB,10020,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
S09HZZAOJ9KH,52,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,ZAGREB,10000,GRAD ZAGREB,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
O8P9UEXG16LH,46,FERIČANCI,31510,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,202,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,FERIČANCI,31510,OSJEČKO-BARANJSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
F95M4TB72KJQ,76,DESINIĆ,49210,KRAPINSKO-ZAGORSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,219,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,DESINIĆ,49210,KRAPINSKO-ZAGORSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
LQECEQUBVYE6,75,BESTOVJE,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,BESTOVJE,10430,ZAGREBAČKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
OS4LU188AF44,48,PODSTRANA,21310,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,210,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,PODSTRANA,21310,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
SMVLT379Z3M8,55,DUGI RAT,21310,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,216,20/5/1998/,20/5/1998/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,DUGI RAT,21310,SPLITSKO-DALMATINSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
4RSW4ZN3197Z,58,MOKOŠICA,20230,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,203,29/4/2006/,29/4/2006/,M,EMPLOYED,OSTALO,OSTALO,,60015,HR,MOKOŠICA,20230,DUBROVAČKO-NERETVANSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
UJFCZNUDDAY7,64,VUKOVAR,32000,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,60000015 - OSTALE FIZIČKE OSOBE,212,29/4/2006/,29/4/2006/,F,EMPLOYED,OSTALO,OSTALO,,60015,HR,VUKOVAR,32000,VUKOVARSKO-SRIJEMSKA ŽUPANIJA,HRVATSKA,,HPB,N,Y,,,,,,,,,,,N,,NE
